City Name,Zone Name,Ward name,Ward No ,Open space name/no,Open space heirarchy/ typology (refer to URDPFI),Open space area (in sqkm),Number of Tree (ward/public space street)
Lucknow,1,Rani laxmi bai,NA,Ghanta ghar Park,NA,8685,NA
Lucknow,1,Basiratganj ganesh ganj,NA,Park in front of temple (Pt Raj Bhihari park),NA,1089,NA
Lucknow,1,J C BOSE,NA,Daya Nisdhan Park,NA,12512,NA
Lucknow,1,NAZARBAG,NA,Nazarabagh large park,NA,1745,NA
Lucknow,1,NAZARBAG,NA,Nazarbag small park,NA,518,NA
Lucknow,1,Golaganj,NA,Ram temple park,NA,1155,NA
Lucknow,1,Golaganj,NA,Park in front of Nurul school,NA,155,NA
Lucknow,1,Golaganj,NA,Kargil martyr memorial fort,NA,3475,NA
Lucknow,1,Golaganj,NA,Hemwanti Nandan Bahuguna Park,NA,2100,NA
Lucknow,1,Golaganj,NA,Pandit Vachanesh Tripathi Park,NA,173225,NA
Lucknow,1,Golaganj,NA,Barod Khana park,NA,1492,NA
Lucknow,1,Golaganj,NA,Annant Kulkarni Park (River Bank Colony),NA,3852,NA
Lucknow,1,Golaganj,NA,D Block Park River Bank Colony,NA,60268,NA
Lucknow,1,Lalkuan,NA,Devendra Puri Park,NA,248,NA
Lucknow,1,Lalkuan,NA,Shivpuri Park,NA,1199,NA
Lucknow,1,Lalkuan,NA,Park behind Chitwapur Primary School,NA,696,NA
Lucknow,1,Lalkuan,NA,Chatton park,NA,33825,NA
Lucknow,1,Lalkuan,NA,Tikona Park,NA,1265,NA
Lucknow,1,Lalkuan,NA,Chitwapur Park (Union Park),NA,1175,NA
Lucknow,1,Lalkuan,NA,Vishwa Hindu Parishad Park,NA,19256,NA
Lucknow,2,Aishbag,NA,Center wali park,NA,216384,NA
Lucknow,2,Aishbag,NA,Kuan wali park,NA,306,NA
Lucknow,2,Aishbag,NA,Neem wala park,NA,2655,NA
Lucknow,2,Aishbag,NA,SN Mishra Park,NA,16159,NA
Lucknow,2,Aishbag,NA,LDA Park,NA,68894,NA
Lucknow,2,Aishbag,NA,Shiv Mandir Park,NA,8686,NA
Lucknow,2,Aishbag,NA,Park in front of Gurudwara in Aishbagh Colony,NA,4185,NA
Lucknow,2,Aishbag,NA,Nehru Park,NA,470187,NA
Lucknow,2,Aishbag,NA,IT Park,NA,16093,NA
Lucknow,2,Aishbag,NA,Navbharat Park,NA,3034,NA
Lucknow,2,Aishbag,NA,PWD Park,NA,500,NA
Lucknow,2,Aishbag,NA,Bagsher park,NA,165,NA
Lucknow,2,Aishbag,NA,Parkashpuram Park,NA,12558,NA
Lucknow,2,Aishbag,NA,9th road park,NA,1875,NA
Lucknow,2,Aishbag,NA,Kalyan Mandap Park,NA,2250,NA
Lucknow,2,Aishbag,NA,Birahna Park,NA,7882,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Kundari Park (ed),NA,59757,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Lal Bahadur Shastri Park,NA,181733,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Kaharna's adda Park,NA,2886,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Bhim nagar Municipal School Park,NA,7752,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Dixit Park,NA,9246,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Rajabazar park,NA,101381,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Astabal yahiyaganj park,NA,37117,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Nala Begamganj Park,NA,10538,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Tikona Park,NA,48475,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Jauhari niwas park,NA,8133,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Bhavana Singh Shiva Park,NA,23945,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Shastri Nagar Murthy Park,NA,624,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Puneet Park,NA,2475,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Punjabi Teela Park,NA,7158,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Sohbatia Bag Park,NA,597,NA
Lucknow,2,Yahiyaganjsubhas chandra bose,NA,Hanuman School Park,NA,101204,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Open ground in front of F3003,NA,1636,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E1199,NA,1053,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F1356,NA,297,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F2058,NA,3713,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F65,NA,355,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E2141,NA,1410,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F381,NA,11552,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F3105,NA,428,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F2180,NA,13764,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F3257,NA,875,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of E1237,NA,684,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F166,NA,1620,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F3112,NA,19782,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of E3417,NA,775,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of e3139,NA,107936,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E3255,NA,832,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F1112,NA,699633,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F1/43,NA,1050,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F792,NA,2736,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E3813,NA,9025,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F3075,NA,37996,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F737,NA,15931,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F3905,NA,26124,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F2083,NA,529,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E3589,NA,744,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E3899,NA,534,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E102,NA,47628,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F642,NA,1426,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F658,NA,906,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F1288,NA,48552,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E3741,NA,534,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F3499,NA,7808,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F581,NA,672,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of e3219,NA,1085,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F3535,NA,1798,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,E1101,NA,382,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F1/49,NA,1221,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,F685,NA,31842,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F931,NA,2839,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F1779,NA,627,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F1818,NA,35815,NA
Lucknow,2,Kunwar Jyoti Prasad,NA,Park in front of F1590,NA,248,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Moti Nagar Tikona Park,NA,2810,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Aryanagar Society,NA,759,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Aryanagar Akhada,NA,680,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Ayra nagar lambai wala park,NA,486,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Nehru Nagar Park,NA,3143,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Amir nagar,NA,842,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Mavaiyya Park,NA,94535,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Nevaj Kheda Park,NA,31594,NA
Lucknow,2,Moti lal NehruChandeabhanu gupt,NA,Charbagh,NA,31243,NA
Lucknow,2,Malviya nagar,NA,Park in front of Motijheel SS240,NA,4437,NA
Lucknow,2,Malviya nagar,NA,Park in front of Motijheel SS 100,NA,35672,NA
Lucknow,2,Malviya nagar,NA,Mothijheel tubewell wala park,NA,6233,NA
Lucknow,2,Malviya nagar,NA,Motijheel kinare wala Park,NA,63495,NA
Lucknow,2,Malviya nagar,NA,Pandey Talab Park,NA,5474,NA
Lucknow,2,Malviya nagar,NA,Park in front of Motijheel S1 229,NA,65274,NA
Lucknow,2,Malviya nagar,NA,Park in front of Motijheel E 1/25,NA,34716,NA
Lucknow,2,Malviya nagar,NA,Mazar wala park,NA,220903,NA
Lucknow,2,Malviya nagar,NA,Motijil Gangaram Gautam,NA,397,NA
Lucknow,2,Malviya nagar,NA,Anandeshwar park,NA,148837,NA
Lucknow,2,Malviya nagar,NA,Tikony Park,NA,4760,NA
Lucknow,2,Malviya nagar,NA,Darogodam park,NA,49198,NA
Lucknow,2,Malviya nagar,NA,Saraswati Park,NA,13995,NA
Lucknow,2,Malviya nagar,NA,Hydel colony park,NA,15048,NA
Lucknow,2,Malviya nagar,NA,Mandir park,NA,2728,NA
Lucknow,2,Malviya nagar,NA,Ambedkar Nagar Park,NA,2834,NA
Lucknow,2,Malviya nagar,NA,Vijay Kheda Park,NA,30976,NA
Lucknow,2,TILAK NAGAR,NA,Tilak Nagar Park,NA,108992,NA
Lucknow,2,TILAK NAGAR,NA,Maharaja Agrasen Park,NA,500004,NA
Lucknow,2,TILAK NAGAR,NA,Indoor park,NA,94658,NA
Lucknow,2,TILAK NAGAR,NA,Fifth Street Park,NA,107802,NA
Lucknow,2,TILAK NAGAR,NA,Tubewell park,NA,83969,NA
Lucknow,2,TILAK NAGAR,NA,Behind Tilak Nagar Anjuman,NA,189,NA
Lucknow,2,TILAK NAGAR,NA,Tikona Park,NA,18944,NA
Lucknow,2,Hardeen rai Nagar,NA,Open ground in front of F11/246,NA,1562,NA
Lucknow,2,Hardeen rai Nagar,NA,Open ground in front of F5131,NA,2027,NA
Lucknow,2,Hardeen rai Nagar,NA,Open land in front of F1/13,NA,2867,NA
Lucknow,2,Hardeen rai Nagar,NA,Open ground in front of F11/30,NA,312,NA
Lucknow,2,Hardeen rai Nagar,NA,C5640,NA,3366,NA
Lucknow,2,Hardeen rai Nagar,NA,E5304,NA,4505,NA
Lucknow,2,Hardeen rai Nagar,NA,C5316,NA,462,NA
Lucknow,2,Hardeen rai Nagar,NA,E5010,NA,5101,NA
Lucknow,2,Hardeen rai Nagar,NA,F5205,NA,51529,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of the E5244,NA,45825,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of the C5576,NA,7134,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of the E5364,NA,24985,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of F11/151,NA,960,NA
Lucknow,2,Hardeen rai Nagar,NA,E2892,NA,232227,NA
Lucknow,2,Hardeen rai Nagar,NA,C4242,NA,2835,NA
Lucknow,2,Hardeen rai Nagar,NA,C4802 / 2,NA,204,NA
Lucknow,2,Hardeen rai Nagar,NA,C2092,NA,1600,NA
Lucknow,2,Hardeen rai Nagar,NA,C3450,NA,53703,NA
Lucknow,2,Hardeen rai Nagar,NA,C2584,NA,78432,NA
Lucknow,2,Hardeen rai Nagar,NA,C244,NA,1120,NA
Lucknow,2,Hardeen rai Nagar,NA,E3122/6 park in front,NA,7168,NA
Lucknow,2,Hardeen rai Nagar,NA,Rajajipuram C13/5549 kothari Bandhu Park,NA,6895,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of F11/250,NA,16325,NA
Lucknow,2,Hardeen rai Nagar,NA,F5069,NA,8555,NA
Lucknow,2,Hardeen rai Nagar,NA,F5155,NA,31406,NA
Lucknow,2,Hardeen rai Nagar,NA,F11/215,NA,40004,NA
Lucknow,2,Hardeen rai Nagar,NA,C5580,NA,420,NA
Lucknow,2,Hardeen rai Nagar,NA,C5740,NA,25075,NA
Lucknow,2,Hardeen rai Nagar,NA,C5804,NA,23545,NA
Lucknow,2,Hardeen rai Nagar,NA,C5966,NA,220,NA
Lucknow,2,Hardeen rai Nagar,NA,F5325,NA,6417,NA
Lucknow,2,Hardeen rai Nagar,NA,C5268,NA,459,NA
Lucknow,2,Hardeen rai Nagar,NA,E4142,NA,621,NA
Lucknow,2,Hardeen rai Nagar,NA,F5111,NA,25025,NA
Lucknow,2,Hardeen rai Nagar,NA,F5059,NA,26134,NA
Lucknow,2,Hardeen rai Nagar,NA,E3771,NA,1044,NA
Lucknow,2,Hardeen rai Nagar,NA,F4968,NA,1096,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of the E4400,NA,324,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e4440,NA,32401,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e1982,NA,290,NA
Lucknow,2,Hardeen rai Nagar,NA,C2888,NA,3287,NA
Lucknow,2,Hardeen rai Nagar,NA,C2580,NA,3701,NA
Lucknow,2,Hardeen rai Nagar,NA,C4364,NA,10164,NA
Lucknow,2,Hardeen rai Nagar,NA,C2340,NA,3306,NA
Lucknow,2,Hardeen rai Nagar,NA,C3440,NA,5152,NA
Lucknow,2,Hardeen rai Nagar,NA,E4929,NA,2401,NA
Lucknow,2,Hardeen rai Nagar,NA,C4882,NA,120,NA
Lucknow,2,Hardeen rai Nagar,NA,C4942,NA,21377,NA
Lucknow,2,Hardeen rai Nagar,NA,C4888,NA,2115,NA
Lucknow,2,Hardeen rai Nagar,NA,E4403,NA,2913,NA
Lucknow,2,Hardeen rai Nagar,NA,E4433,NA,2601,NA
Lucknow,2,Hardeen rai Nagar,NA,E4339,NA,2612,NA
Lucknow,2,Hardeen rai Nagar,NA,E4309,NA,2601,NA
Lucknow,2,Hardeen rai Nagar,NA,E2778,NA,737,NA
Lucknow,2,Hardeen rai Nagar,NA,E3712,NA,88065,NA
Lucknow,2,Hardeen rai Nagar,NA,C2526,NA,3686,NA
Lucknow,2,Hardeen rai Nagar,NA,C2810,NA,41989,NA
Lucknow,2,Hardeen rai Nagar,NA,C3980,NA,2976,NA
Lucknow,2,Hardeen rai Nagar,NA,C4374,NA,25824,NA
Lucknow,2,Hardeen rai Nagar,NA,C2588,NA,800,NA
Lucknow,2,Hardeen rai Nagar,NA,C3306,NA,20335,NA
Lucknow,2,Hardeen rai Nagar,NA,C3492,NA,5408,NA
Lucknow,2,Hardeen rai Nagar,NA,E1693,NA,441,NA
Lucknow,2,Hardeen rai Nagar,NA,C2130,NA,4452,NA
Lucknow,2,Hardeen rai Nagar,NA,E3382,NA,3190,NA
Lucknow,2,Hardeen rai Nagar,NA,C1148,NA,78948,NA
Lucknow,2,Hardeen rai Nagar,NA,C5000,NA,1025,NA
Lucknow,2,Hardeen rai Nagar,NA,C2337,NA,395,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of C6/77,NA,3346,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of C6/64,NA,43264,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of C6/52,NA,8064,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e2038,NA,3678,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e3240,NA,8836,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of C3950,NA,697,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e3392,NA,3190,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e4963,NA,1682,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e4498,NA,1190,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of C4314 / C42298,NA,2835,NA
Lucknow,2,Hardeen rai Nagar,NA,C2058,NA,32437,NA
Lucknow,2,Hardeen rai Nagar,NA,C2286,NA,3211,NA
Lucknow,2,Hardeen rai Nagar,NA,C1665,NA,4743,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e1144,NA,224952,NA
Lucknow,2,Hardeen rai Nagar,NA,F5303,NA,51529,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of the E5302,NA,4505,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of F5233,NA,17575,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of the E5106,NA,3664,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of E4756,NA,3931,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e4740,NA,324,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of F11/212,NA,3008,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of the E5106,NA,3664,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of C4106/4142,NA,47275,NA
Lucknow,2,Hardeen rai Nagar,NA,E4487,NA,2592,NA
Lucknow,2,Hardeen rai Nagar,NA,E4283,NA,2913,NA
Lucknow,2,Hardeen rai Nagar,NA,E45252,NA,3124,NA
Lucknow,2,Hardeen rai Nagar,NA,E4800,NA,806,NA
Lucknow,2,Hardeen rai Nagar,NA,C5440,NA,1125,NA
Lucknow,2,Hardeen rai Nagar,NA,E4076,NA,2887,NA
Lucknow,2,Hardeen rai Nagar,NA,E3772,NA,258,NA
Lucknow,2,Hardeen rai Nagar,NA,C2740,NA,225,NA
Lucknow,2,Hardeen rai Nagar,NA,E3092,NA,4554,NA
Lucknow,2,Hardeen rai Nagar,NA,C4310,NA,45175,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of E4339,NA,26145,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e3638,NA,3485,NA
Lucknow,2,Hardeen rai Nagar,NA,In front of eblock market,NA,1728,NA
Lucknow,2,Hardeen rai Nagar,NA,Siddiqui Electronics,NA,1728,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of e4833,NA,260,NA
Lucknow,2,Hardeen rai Nagar,NA,Park in front of E5000,NA,375,NA
Lucknow,2,RAJA BAZAR,NA,Navratan park,NA,54502,NA
Lucknow,2,RAJAJIPURAM,NA,A101 Perfect Pak,NA,2411,NA
Lucknow,2,RAJAJIPURAM,NA,B134 Rani Lakshmibai Park,NA,1677,NA
Lucknow,2,RAJAJIPURAM,NA,C2700 Gandhi Park,NA,2604,NA
Lucknow,2,RAJAJIPURAM,NA,D71 Friendship Park,NA,972,NA
Lucknow,2,RAJAJIPURAM,NA,C350,NA,7872,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of B282,NA,4422,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of A165/146,NA,23057,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of D250,NA,2600,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of ED28,NA,1512,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of e1145,NA,684,NA
Lucknow,2,RAJAJIPURAM,NA,F480 Rajgopal Chari Park,NA,374,NA
Lucknow,2,RAJAJIPURAM,NA,E4155,NA,392,NA
Lucknow,2,RAJAJIPURAM,NA,E1916 behind Manoj Jha,NA,8216,NA
Lucknow,2,RAJAJIPURAM,NA,E2154,NA,549,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of E212,NA,704,NA
Lucknow,2,RAJAJIPURAM,NA,E2544,NA,3256,NA
Lucknow,2,RAJAJIPURAM,NA,E2524,NA,36516,NA
Lucknow,2,RAJAJIPURAM,NA,E1906,NA,8216,NA
Lucknow,2,RAJAJIPURAM,NA,E1984,NA,290,NA
Lucknow,2,RAJAJIPURAM,NA,E1300 Satsanga Park,NA,2100,NA
Lucknow,2,RAJAJIPURAM,NA,A / 317,NA,723,NA
Lucknow,2,RAJAJIPURAM,NA,B315,NA,17136,NA
Lucknow,2,RAJAJIPURAM,NA,B58,NA,18054,NA
Lucknow,2,RAJAJIPURAM,NA,C215,NA,1092,NA
Lucknow,2,RAJAJIPURAM,NA,C64,NA,1176,NA
Lucknow,2,RAJAJIPURAM,NA,D375,NA,2300,NA
Lucknow,2,RAJAJIPURAM,NA,D33,NA,576,NA
Lucknow,2,RAJAJIPURAM,NA,D59 Jawaharlal Nehru Park,NA,80115,NA
Lucknow,2,RAJAJIPURAM,NA,High income slot park,NA,21175,NA
Lucknow,2,RAJAJIPURAM,NA,E5/113,NA,52015,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of C1499,NA,5252,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of B165,NA,400,NA
Lucknow,2,RAJAJIPURAM,NA,Park in front of B265/1,NA,1544,NA
Lucknow,2,LABOUR COLONY,NA,C4307,NA,297,NA
Lucknow,2,LABOUR COLONY,NA,C1225,NA,11908,NA
Lucknow,2,LABOUR COLONY,NA,C1029,NA,1075,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of the C1665,NA,4743,NA
Lucknow,2,LABOUR COLONY,NA,Park 7091 in front of C13,NA,13041,NA
Lucknow,2,LABOUR COLONY,NA,C13/7014,NA,31556,NA
Lucknow,2,LABOUR COLONY,NA,C2105,NA,74431,NA
Lucknow,2,LABOUR COLONY,NA,C3043,NA,58987,NA
Lucknow,2,LABOUR COLONY,NA,C4307,NA,2133,NA
Lucknow,2,LABOUR COLONY,NA,C4959,NA,6293,NA
Lucknow,2,LABOUR COLONY,NA,C2673,NA,7125,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C4537/13,NA,5022,NA
Lucknow,2,LABOUR COLONY,NA,8/2 Kanakeshwar Mahadev Temple Park,NA,1920,NA
Lucknow,2,LABOUR COLONY,NA,Park near C903,NA,9889,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C3535,NA,12889,NA
Lucknow,2,LABOUR COLONY,NA,C3163,NA,297,NA
Lucknow,2,LABOUR COLONY,NA,C5157,NA,2486,NA
Lucknow,2,LABOUR COLONY,NA,C4283,NA,2913,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C1423,NA,960,NA
Lucknow,2,LABOUR COLONY,NA,C1443,NA,960,NA
Lucknow,2,LABOUR COLONY,NA,C903,NA,53676,NA
Lucknow,2,LABOUR COLONY,NA,C4268,NA,2835,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C1601,NA,2262,NA
Lucknow,2,LABOUR COLONY,NA,Sea1981,NA,53176,NA
Lucknow,2,LABOUR COLONY,NA,C1951,NA,398544,NA
Lucknow,2,LABOUR COLONY,NA,C1603,NA,4725,NA
Lucknow,2,LABOUR COLONY,NA,C2969,NA,992,NA
Lucknow,2,LABOUR COLONY,NA,C3265,NA,47875,NA
Lucknow,2,LABOUR COLONY,NA,C3163,NA,28215,NA
Lucknow,2,LABOUR COLONY,NA,C4589,NA,518,NA
Lucknow,2,LABOUR COLONY,NA,C4003,NA,7665,NA
Lucknow,2,LABOUR COLONY,NA,C5233,NA,250,NA
Lucknow,2,LABOUR COLONY,NA,C5253,NA,20335,NA
Lucknow,2,LABOUR COLONY,NA,C3757,NA,49796,NA
Lucknow,2,LABOUR COLONY,NA,C5157,NA,24864,NA
Lucknow,2,LABOUR COLONY,NA,C3661,NA,3128,NA
Lucknow,2,LABOUR COLONY,NA,C3695,NA,31265,NA
Lucknow,2,LABOUR COLONY,NA,C2187,NA,4048,NA
Lucknow,2,LABOUR COLONY,NA,C2551,NA,5712,NA
Lucknow,2,LABOUR COLONY,NA,C5265,NA,39537,NA
Lucknow,2,LABOUR COLONY,NA,C2551,NA,5712,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C22/2,NA,4092,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C2333,NA,3043,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C1669,NA,416,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C3685,NA,3239,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C1921 / 2,NA,12037,NA
Lucknow,2,LABOUR COLONY,NA,C2812,NA,375,NA
