"id","year","state_name","state_code","sector","quantity"
249,"2008","Bihar","10","Cement",0.05
250,"2018","Bihar","10","Metallurgical Use- Cokeries",0.01
251,"2010","Bihar","10","Other",1.8
252,"2019","Bihar","10","Power (Utility)",0.01
253,"2013","Bihar","10","Pulp and Paper",0.0
254,"2013","Bihar","10","Chemical",0.01
255,"2011","Bihar","10","Other Basic-Metal (Aluminium Etc)",0.0
256,"2006","Bihar","10","Cement",0.05
257,"2019","Bihar","10","Power (Utility)",0.11
258,"2018","Bihar","10","Power (Utility)",0.28
259,"2014","Bihar","10","Metallurgical Use- Cokeries",0.01
260,"2018","Bihar","10","Power (Utility)",17.89
261,"2021","Bihar","10","Other",0.64
262,"2016","Bihar","10","Power (Utility)",0.01
263,"2013","Bihar","10","Power (Utility)",8.65
264,"2016","Bihar","10","Other",0.62
265,"2012","Bihar","10","Cement",0.0
266,"2009","Bihar","10","Power (Utility)",7.41
267,"2016","Bihar","10","Power (Utility)",6.36
268,"2008","Bihar","10","Power (Utility)",4.81
269,"2020","Bihar","10","Power (Utility)",21.18
270,"2006","Bihar","10","Other",0.7
271,"2017","Bihar","10","Other",0.52
272,"2009","Bihar","10","Other",1.52
273,"2006","Bihar","10","Power (Utility)",6.97
274,"2015","Bihar","10","Other",0.66
275,"2017","Bihar","10","Power (Utility)",0.11
276,"2015","Bihar","10","Power (Utility)",3.05
277,"2021","Bihar","10","Power (Utility)",21.47
278,"2008","Bihar","10","Other",1.29
279,"2011","Bihar","10","Power (Utility)",10.51
280,"2010","Bihar","10","Power (Utility)",9.53
281,"2007","Bihar","10","Other",0.7
282,"2020","Bihar","10","Power (Utility)",0.54
283,"2019","Bihar","10","Power (Utility)",18.34
284,"2017","Bihar","10","Power (Utility)",17.16
285,"2012","Bihar","10","Power (Utility)",10.13
286,"2011","Bihar","10","Cement",0.05
287,"2019","Bihar","10","Other",0.58
288,"2007","Bihar","10","Cement",0.12
289,"2007","Bihar","10","Power (Utility)",5.35
290,"2017","Bihar","10","Metallurgical Use- Cokeries",0.04
291,"2017","Bihar","10","Chemical",0.01
292,"2011","Bihar","10","Other",1.7
293,"2012","Bihar","10","Chemical",0.01
294,"2015","Bihar","10","Metallurgical Use- Cokeries",0.01
295,"2007","Bihar","10","Chemical",0.0
296,"2014","Bihar","10","Power (Utility)",2.66
297,"2018","Bihar","10","Other",0.67
298,"2016","Bihar","10","Metallurgical Use- Cokeries",0.02
299,"2012","Bihar","10","Other",1.0
300,"2011","Bihar","10","Chemical",0.01
301,"2016","Bihar","10","Bricks",0.0
302,"2018","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.17
303,"2010","Chhattisgarh","22","Other Basic-Metal (Aluminium Etc)",0.07
304,"2006","Chhattisgarh","22","Steel (Boilers)",0.53
305,"2007","Chhattisgarh","22","Other Basic-Metal (Aluminium Etc)",0.12
306,"2012","Chhattisgarh","22","Chemical",0.0
307,"2016","Chhattisgarh","22","Steel (Boilers)",0.01
308,"2019","Chhattisgarh","22","Other Basic-Metal (Aluminium Etc)",0.0
309,"2011","Chhattisgarh","22","Sponge Iron",1.92
310,"2015","Chhattisgarh","22","Sponge Iron",5.15
311,"2019","Chhattisgarh","22","Power (Captive)",8.7
312,"2010","Chhattisgarh","22","Power (Utility)",0.09
313,"2015","Chhattisgarh","22","Sponge Iron",2.51
314,"2009","Chhattisgarh","22","Steel (Boilers)",0.0
315,"2020","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.07
316,"2007","Chhattisgarh","22","Power (Captive)",2.17
317,"2012","Chhattisgarh","22","Sponge Iron",5.88
318,"2008","Chhattisgarh","22","Metallurgical Use- Cokeries",1.02
319,"2009","Chhattisgarh","22","Sponge Iron",5.98
320,"2014","Chhattisgarh","22","Sponge Iron",5.93
321,"2010","Chhattisgarh","22","Power (Captive)",12.2
322,"2010","Chhattisgarh","22","Power (Captive)",0.02
323,"2016","Chhattisgarh","22","Other",0.2
324,"2019","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.2
325,"2014","Chhattisgarh","22","Sponge Iron",2.36
326,"2013","Chhattisgarh","22","Sponge Iron",2.26
327,"2017","Chhattisgarh","22","Pulp and Paper",0.02
328,"2013","Chhattisgarh","22","Metallurgical Use- Cokeries",0.37
329,"2020","Chhattisgarh","22","Power (Captive)",0.08
330,"2012","Chhattisgarh","22","Colliery Staff",0.0
331,"2009","Chhattisgarh","22","Power (Captive)",0.01
332,"2021","Chhattisgarh","22","Power (Captive)",0.21
333,"2011","Chhattisgarh","22","Other",7.51
334,"2019","Chhattisgarh","22","Steel (Boilers)",0.02
335,"2011","Chhattisgarh","22","Pulp and Paper",0.02
336,"2017","Chhattisgarh","22","Other",6.41
337,"2007","Chhattisgarh","22","Cement",2.07
338,"2017","Chhattisgarh","22","Power (Captive)",0.0
339,"2018","Chhattisgarh","22","Cement",1.57
340,"2011","Chhattisgarh","22","Cement",1.47
341,"2016","Chhattisgarh","22","Metallurgical Use- Cokeries",0.74
342,"2007","Chhattisgarh","22","Colliery Own - Consumption",0.01
343,"2011","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.16
344,"2019","Chhattisgarh","22","Power (Utility)",67.85
345,"2017","Chhattisgarh","22","Other Basic-Metal (Aluminium Etc)",0.42
346,"2015","Chhattisgarh","22","Power (Utility)",0.49
347,"2018","Chhattisgarh","22","Power (Utility)",0.09
348,"2010","Chhattisgarh","22","Sponge Iron",1.95
349,"2018","Chhattisgarh","22","Metallurgical Use- Cokeries",0.13
350,"2019","Chhattisgarh","22","Colliery Own - Consumption",0.01
351,"2020","Chhattisgarh","22","Colliery Own - Consumption",0.01
352,"2014","Chhattisgarh","22","Power (Captive)",3.88
353,"2007","Chhattisgarh","22","Metallurgical Use- Cokeries",0.89
354,"2014","Chhattisgarh","22","Metallurgical Use- Cokeries",0.45
355,"2011","Chhattisgarh","22","Steel (Boilers)",0.59
356,"2014","Chhattisgarh","22","Steel (Boilers)",0.38
357,"2008","Chhattisgarh","22","Power (Captive)",6.7
358,"2018","Chhattisgarh","22","Pulp and Paper",0.02
359,"2007","Chhattisgarh","22","Sponge Iron",4.59
360,"2010","Chhattisgarh","22","Power (Captive)",2.33
361,"2011","Chhattisgarh","22","Metallurgical Use- Cokeries",0.95
362,"2015","Chhattisgarh","22","Power (Captive)",8.69
363,"2010","Chhattisgarh","22","Sponge Iron",6.56
364,"2008","Chhattisgarh","22","Power (Utility)",20.44
365,"2009","Chhattisgarh","22","Other Basic-Metal (Aluminium Etc)",0.11
366,"2012","Chhattisgarh","22","Power (Captive)",0.06
367,"2021","Chhattisgarh","22","Other",4.63
368,"2014","Chhattisgarh","22","Power (Utility)",38.56
369,"2015","Chhattisgarh","22","Power (Utility)",42.43
370,"2007","Chhattisgarh","22","Power (Captive)",5.08
371,"2014","Chhattisgarh","22","Cement",1.42
372,"2006","Chhattisgarh","22","Bricks",0.01
373,"2006","Chhattisgarh","22","Pulp and Paper",0.04
374,"2017","Chhattisgarh","22","Power (Utility)",0.04
375,"2015","Chhattisgarh","22","Other",0.14
376,"2010","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.1
377,"2016","Chhattisgarh","22","Power (Captive)",0.02
378,"2020","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.12
379,"2019","Chhattisgarh","22","Other",3.82
380,"2012","Chhattisgarh","22","Sponge Iron",2.21
381,"2017","Chhattisgarh","22","Metallurgical Use- Cokeries",0.25
382,"2016","Chhattisgarh","22","Power (Captive)",2.62
383,"2010","Chhattisgarh","22","Other",6.62
384,"2013","Chhattisgarh","22","Steel (Boilers)",0.18
385,"2014","Chhattisgarh","22","Colliery Own - Consumption",0.01
386,"2012","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.42
387,"2014","Chhattisgarh","22","Other",0.25
388,"2007","Chhattisgarh","22","Pulp and Paper",0.04
389,"2016","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.07
390,"2006","Chhattisgarh","22","Other",1.04
391,"2012","Chhattisgarh","22","Power (Captive)",11.46
392,"2020","Chhattisgarh","22","Sponge Iron",5.34
393,"2015","Chhattisgarh","22","Pulp and Paper",0.02
394,"2011","Chhattisgarh","22","Power (Captive)",11.64
395,"2018","Chhattisgarh","22","Power (Utility)",62.48
396,"2019","Chhattisgarh","22","Cement",1.88
397,"2018","Chhattisgarh","22","Colliery Own - Consumption",0.01
398,"2006","Chhattisgarh","22","Colliery Own - Consumption",0.02
399,"2019","Chhattisgarh","22","Pulp and Paper",0.02
400,"2011","Chhattisgarh","22","Power (Utility)",34.58
401,"2018","Chhattisgarh","22","Other",6.75
402,"2009","Chhattisgarh","22","Steel (Boilers)",0.61
403,"2021","Chhattisgarh","22","Power (Captive)",9.02
404,"2013","Chhattisgarh","22","Pulp and Paper",0.02
405,"2010","Chhattisgarh","22","Steel (Boilers)",1.37
406,"2011","Chhattisgarh","22","Power (Captive)",3.06
407,"2017","Chhattisgarh","22","Cement",1.34
408,"2008","Chhattisgarh","22","Other",3.76
409,"2008","Chhattisgarh","22","Power (Utility)",0.4
410,"2009","Chhattisgarh","22","Power (Utility)",1.76
411,"2009","Chhattisgarh","22","Pulp and Paper",0.03
412,"2013","Chhattisgarh","22","Power (Captive)",11.09
413,"2010","Chhattisgarh","22","Metallurgical Use- Cokeries",0.92
414,"2013","Chhattisgarh","22","Sponge Iron",6.72
415,"2009","Chhattisgarh","22","Other",6.18
416,"2008","Chhattisgarh","22","Sponge Iron",1.92
417,"2016","Chhattisgarh","22","Pulp and Paper",0.01
418,"2012","Chhattisgarh","22","Textiles and Rayons",0.05
419,"2017","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.35
420,"2009","Chhattisgarh","22","Colliery Own - Consumption",0.02
421,"2012","Chhattisgarh","22","Power (Captive)",3.57
422,"2018","Chhattisgarh","22","Power (Captive)",5.86
423,"2021","Chhattisgarh","22","Power (Utility)",99.94
424,"2013","Chhattisgarh","22","Metallurgical Use- Cokeries",0.2
425,"2011","Chhattisgarh","22","Metallurgical Use- Cokeries",0.03
426,"2015","Chhattisgarh","22","Metallurgical Use- Cokeries",0.01
427,"2013","Chhattisgarh","22","Power (Captive)",4.82
428,"2017","Chhattisgarh","22","Power (Captive)",2.63
429,"2020","Chhattisgarh","22","Power (Utility)",0.0
430,"2008","Chhattisgarh","22","Colliery Own - Consumption",0.01
431,"2008","Chhattisgarh","22","Sponge Iron",6.12
432,"2013","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.53
433,"2021","Chhattisgarh","22","Cement",1.29
434,"2012","Chhattisgarh","22","Cement",0.95
435,"2008","Chhattisgarh","22","Steel (Boilers)",0.54
436,"2012","Chhattisgarh","22","Metallurgical Use- Cokeries",0.46
437,"2006","Chhattisgarh","22","Other Basic-Metal (Aluminium Etc)",0.34
438,"2021","Chhattisgarh","22","Power (Captive)",0.03
439,"2018","Chhattisgarh","22","Sponge Iron",3.53
440,"2006","Chhattisgarh","22","Cement",2.13
441,"2010","Chhattisgarh","22","Power (Utility)",1.42
442,"2009","Chhattisgarh","22","Metallurgical Use- Cokeries",1.14
443,"2007","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.14
444,"2009","Chhattisgarh","22","Power (Captive)",1.46
445,"2016","Chhattisgarh","22","Cement",1.61
446,"2012","Chhattisgarh","22","Other",9.55
447,"2013","Chhattisgarh","22","Power (Captive)",0.17
448,"2011","Chhattisgarh","22","Sponge Iron",6.76
449,"2007","Chhattisgarh","22","Other",0.08
450,"2006","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.15
451,"2017","Chhattisgarh","22","Colliery Own - Consumption",0.01
452,"2012","Chhattisgarh","22","Pulp and Paper",0.03
453,"2007","Chhattisgarh","22","Other",2.99
454,"2008","Chhattisgarh","22","Cement",2.1
455,"2015","Chhattisgarh","22","Cement",1.52
456,"2013","Chhattisgarh","22","Power (Utility)",38.23
457,"2020","Chhattisgarh","22","Power (Utility)",65.64
458,"2013","Chhattisgarh","22","Other",10.59
459,"2009","Chhattisgarh","22","Cement",1.54
460,"2017","Chhattisgarh","22","Power (Utility)",58.12
461,"2015","Chhattisgarh","22","Power (Captive)",1.3
462,"2015","Chhattisgarh","22","Steel (Boilers)",0.37
463,"2012","Chhattisgarh","22","Power (Utility)",34.37
464,"2014","Chhattisgarh","22","Pulp and Paper",0.02
465,"2014","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.11
466,"2016","Chhattisgarh","22","Sponge Iron",3.25
467,"2015","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.1
468,"2021","Chhattisgarh","22","Colliery Own - Consumption",0.0
469,"2010","Chhattisgarh","22","Colliery Own - Consumption",0.0
470,"2017","Chhattisgarh","22","Sponge Iron",1.66
471,"2019","Chhattisgarh","22","Metallurgical Use- Cokeries",0.02
472,"2012","Chhattisgarh","22","Power (Utility)",0.55
473,"2009","Chhattisgarh","22","Power (Captive)",6.65
474,"2006","Chhattisgarh","22","Power (Captive)",5.09
475,"2019","Chhattisgarh","22","Other",0.17
476,"2020","Chhattisgarh","22","Cement",2.25
477,"2007","Chhattisgarh","22","Power (Utility)",18.89
478,"2010","Chhattisgarh","22","Power (Utility)",31.04
479,"2013","Chhattisgarh","22","Power (Utility)",0.38
480,"2015","Chhattisgarh","22","Power (Captive)",4.07
481,"2006","Chhattisgarh","22","Sponge Iron",5.54
482,"2014","Chhattisgarh","22","Power (Captive)",8.46
483,"2011","Chhattisgarh","22","Power (Utility)",0.74
484,"2013","Chhattisgarh","22","Colliery Own - Consumption",0.01
485,"2019","Chhattisgarh","22","Sponge Iron",6.42
486,"2009","Chhattisgarh","22","Power (Utility)",30.09
487,"2008","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.09
488,"2008","Chhattisgarh","22","Pulp and Paper",0.04
489,"2013","Chhattisgarh","22","Cement",1.47
490,"2020","Chhattisgarh","22","Power (Captive)",9.99
491,"2020","Chhattisgarh","22","Other",5.19
